BAC/USD,["Synthetic"],BitAlphaCoin,US Dollar
BADGER/USD,["Binance",,
BAKE/USD,["Binance"],BakeryToken,US Dollar
BAL/USD,["Binance",,
BANCA/USD,["Synthetic"],Banca,US Dollar
BAND/USD,["Binance"],Band Protocol,US Dollar
BAN/USD,["Synthetic"],Banano Coin,US Dollar
BASH/USD,["Synthetic"],LuckChain,US Dollar
BAT/USD,["Bibox",,
BAT/USDC,["Coinbase Pro"],Basic Attention Token,USD Coin
BAX/USD,["CoinTiger",,
BAY/USD,["Synthetic"],BitBay,US Dollar
BBC/USD,["Synthetic"],TraDove B2BCoin,US Dollar
BBK/USD,["Synthetic"],Brickblock,US Dollar
BBT/USD,["Synthetic"],BitBoost,US Dollar
BCAP/USD,["Synthetic"],BCAP,US Dollar
BCA/USD,["YoBit"],Bitcoin Atom,US Dollar
BCDN/USD,["Gate.io"],BlockCDN,US Dollar
BCD/USD,["Gate.io",,
BCHSV/USD,["Bitfinex",,
BCH/USD,["Binance",,
BCI/USD,["Synthetic"],Bitcoin Interest,US Dollar
BCN/USD,["HitBTC"],Bytecoin,US Dollar
BCO/USD,["Synthetic"],BridgeCoin,US Dollar
BCPT/USD,["Synthetic"],Blockmason Credit Protocol,US Dollar
BCV/USD,["Synthetic"],BitCapitalVendor,US Dollar
BCX/USD,["Gate.io"],BitcoinX,US Dollar
BCZERO/USD,["Synthetic"],Buggyra Coin Zero,US Dollar
BDG/USD,["Synthetic"],BitDegree,US Dollar
BDL/USD,["Synthetic"],Bitdeal,US Dollar
BEAM/USD,["Binance",,
BEE/USD,["Synthetic"],Bee-Token,US Dollar
BELA/USD,["Synthetic"],Bela,US Dollar
BENJI/USD,["Synthetic"],BenjiRolls,US Dollar
BERN/USD,["Synthetic"],BERNcash,US Dollar
BERRY/USD,["HitBTC"],Rentberry,US Dollar
BESTb/USD,["Synthetic"],Bitpanda Ecosystem Token,US Dollar
BEST/USD,["Synthetic"],BestChain,US Dollar
BETA/USD,["Binance"],Beta Finance,US Dollar
BEZ/USD,["Synthetic"],Bezop,US Dollar
BFT/USD,["Synthetic"],BnkToTheFuture,US Dollar
BiblePay/USD,["Kraken"],BiblePay,US Dollar
BIGUP/USD,["Synthetic"],BigUp,US Dollar
BIOB/USD,["Synthetic"],BioBar,US Dollar
BIOS/USD,["Synthetic"],BiosCrypto,US Dollar
BIRDS/USD,["Synthetic"],Birds,US Dollar
BIS/USD,["Synthetic"],Bismuth,US Dollar
BITB/USD,["Synthetic"],Bean Cash,US Dollar
BITCAR/USD,["Synthetic"],BitCar,US Dollar
BITOK/USD,["Synthetic"],Bitok,US Dollar
BITS/USD,["Synthetic"],Bitstar,US Dollar
BIT/USD,["Synthetic"],First Bitcoin,US Dollar
BITZ/USD,["Synthetic"],Bitz,US Dollar
BIX/USD,["Bibox"],Bibox Token,US Dollar
BKX/USD,["Synthetic"],BANKEX,US Dollar
BLAZR/USD,["Synthetic"],BlazerCoin,US Dollar
BLC/USD,["Synthetic"],Blakecoin,US Dollar
BLITZ/USD,["Synthetic"],Blitzcash,US Dollar
BLK/USD,["Synthetic"],BlackCoin,US Dollar
BLOCK/USD,["Synthetic"],Blocknet,US Dollar
BLOK/USD,["Gate.io",,
BLRY/USD,["Synthetic"],BillaryCoin,US Dollar
BLUE/USD,["Synthetic"],BLUE,US Dollar
BLU/USD,["Synthetic"],BlueCoin,US Dollar
BLX/USD,["Synthetic"],Blockchain Index,US Dollar
BLZE/USD,["Gate.io",,
BMC/USD,["HitBTC"],Blackmoon,US Dollar
BMT/USD,["Synthetic",,
BNB/USD,["Binance",,
BNK/USD,["HitBTC"],Bankera,US Dollar
BNS/USD,["Kucoin"],BNS Token,US Dollar
